,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
120,Lazio-Genoa,0,0,1,2,0,9,0,1,0,0,0,18,2.0,1.8333333333333333,1.0555555555555556,2.055555555555556,1.6449566416599486,1.2485285456935955,1.055641551364534,1.055641551364534,0,0,4,3,1,2,4,4,1,2,0,0,0,0,1,2,0,3,2,3,3,1
121,Salernitana-Inter,0,1,0,0,0,20,2,2,2,2,2,1,0.6111111111111112,2.333333333333333,2.6666666666666665,0.8333333333333334,0.8498365855987975,1.4142135623730951,1.3719886811400708,0.9235481451827988,0,1,0,0,0,2,1,2,2,4,3,2,2,3,4,2,0,0,0,0,0,5
122,Atalanta-Roma,2,2,2,2,2,3,2,2,0,0,2,6,2.111111111111111,1.3333333333333333,1.6666666666666667,1.1111111111111112,1.278274981412284,1.0846522890932808,1.2366938848016846,1.1826634392157038,5,1,4,3,2,2,0,0,2,1,2,1,0,0,2,0,0,1,3,0,1,4
123,Bologna-Juventus,0,2,2,0,0,10,2,0,2,2,1,7,1.3333333333333333,1.7222222222222223,1.3888888888888888,0.9444444444444444,0.970142500145332,1.7423971167384034,0.8498365855987975,0.8726040960806521,0,1,1,2,1,1,0,0,3,2,2,0,2,2,1,0,1,0,0,1,0,2
124,Cagliari-Udinese,1,1,1,1,0,19,0,1,1,0,1,15,0.9444444444444444,2.111111111111111,1.4444444444444444,1.5555555555555556,0.9375953110592338,1.131832916836221,1.3814835257889049,1.2935233335271097,2,1,0,1,0,2,1,0,1,4,1,0,4,1,1,2,0,4,3,1,0,4
125,Fiorentina-Sassuolo,2,0,2,2,2,5,1,2,1,1,2,12,1.8333333333333333,1.3333333333333333,1.6666666666666667,1.5555555555555556,1.2947859237091257,1.0289915108550531,0.90748521297303,0.7838233761296741,4,1,3,3,4,3,2,1,2,0,2,3,2,2,2,2,1,2,2,1,2,2
126,Spezia-Empoli,0,0,0,1,0,17,0,2,1,2,2,8,1.0,2.1666666666666665,1.5555555555555556,1.6666666666666667,0.8401680504168059,1.5434872662825796,1.1991282236408358,1.0846522890932806,2,0,0,2,0,5,1,2,2,2,1,2,2,3,1,2,1,2,1,0,1,1
127,Sampdoria-Venezia,2,2,0,0,2,14,2,0,0,0,1,16,1.4444444444444444,1.8888888888888888,0.9444444444444444,1.7222222222222223,1.0966377611066325,1.278274981412284,0.9375953110592338,1.227410260553666,2,3,1,1,3,0,1,3,3,1,1,0,0,3,1,0,2,4,4,1,1,1
128,Torino-Verona,2,0,1,1,2,13,2,0,1,2,0,11,1.2777777777777777,1.0,1.8333333333333333,1.7222222222222223,1.1785113019775793,0.6859943405700354,1.3394467690277294,1.0740552924509192,2,0,2,1,2,1,1,2,1,1,2,1,0,4,1,1,3,0,3,2,1,0
129,Milan-Napoli,0,0,2,2,1,2,0,2,1,0,0,4,2.0,1.1111111111111112,1.9444444444444444,0.7222222222222222,1.137592917989042,1.131832916836221,1.2113299556429322,1.0178151661369077,3,1,3,2,1,4,3,0,0,1,2,4,2,2,0,3,0,2,3,1,0,1
130,Genoa-Atalanta,1,0,0,0,0,18,2,2,2,2,0,4,1.0,1.947368421052632,2.0,1.263157894736842,1.0540925533894598,1.1290942392774796,1.3333333333333333,1.097578408394179,0,0,0,1,1,0,3,2,3,3,1,4,3,2,1,0,0,2,1,4,0,0
131,Juventus-Cagliari,0,2,2,1,2,7,1,1,1,0,0,19,1.4210526315789471,0.8947368421052632,0.8947368421052632,2.1052631578947367,0.837707816583391,0.8752610304046612,0.936585811581694,1.1002392084403616,0,2,2,1,2,1,0,0,1,0,1,0,1,0,0,1,0,1,4,4,2,0
132,Sassuolo-Bologna,2,1,1,2,1,11,2,2,0,0,0,12,1.5789473684210529,1.631578947368421,1.4210526315789471,1.631578947368421,0.9612370197756298,0.8306975860878395,1.0173926082384546,1.738790330334712,3,2,2,2,2,1,2,2,1,2,1,1,2,1,0,0,0,3,2,2,0,3
133,Venezia-Lazio,0,0,0,1,1,16,0,1,2,0,2,8,0.9473684210526316,1.7894736842105263,2.0526315789473686,1.7894736842105263,0.9112679939102144,1.2283207764360908,1.6149882768933417,1.2283207764360908,0,0,3,1,1,2,4,4,1,1,0,4,3,1,3,4,4,1,2,1,1,3
134,Verona-Fiorentina,0,1,2,0,0,13,0,2,2,2,1,6,1.7894736842105263,1.6842105263157894,1.7894736842105263,1.3157894736842106,1.3156725094212405,1.0568628408301075,1.2727462594467418,1.002919714242558,1,0,4,1,0,3,0,3,2,1,1,3,3,4,2,2,1,2,0,2,1,1
135,Inter-Torino,2,2,2,2,2,1,0,1,1,2,2,10,2.5789473684210527,0.7894736842105263,1.2105263157894737,1.0,1.3870748387117164,0.917662935482247,1.1822270588653647,0.6666666666666666,2,2,3,4,5,0,0,0,0,0,0,2,1,2,1,1,2,1,1,0,1,0
136,Roma-Sampdoria,2,0,0,2,2,5,2,0,0,2,1,15,1.631578947368421,1.105263157894737,1.4210526315789471,1.8421052631578947,1.2115429242540032,1.1496249070460265,1.0706067580626213,1.2588865404147536,1,0,0,2,4,0,1,3,0,1,3,1,1,3,1,1,3,3,1,1,1,1
137,Empoli-Milan,2,1,2,2,1,9,0,2,2,1,0,3,1.5789473684210529,1.7894736842105263,2.1052631578947367,1.1578947368421053,1.1697953037312034,1.1822270588653645,1.1969747440993463,1.11868761873192,2,2,3,1,1,1,2,1,0,1,1,3,2,1,0,3,0,0,1,1,2,4
138,Napoli-Spezia,2,1,0,0,2,2,0,0,1,0,1,17,1.8421052631578947,0.7368421052631579,1.0,2.0526315789473686,1.2588865404147531,0.9911892555667045,0.816496580927726,1.5802139169719436,4,2,2,0,1,0,2,3,1,0,0,0,2,0,1,1,2,2,2,1,0,1
139,Udinese-Salernitana,1,1,0,1,2,14,1,0,0,0,0,20,1.368421052631579,1.5263157894736843,0.631578947368421,2.210526315789474,1.382852378872881,1.2635233389495326,0.8306975860878395,1.4749368110164,0,4,1,1,4,0,4,3,1,0,1,0,0,0,0,1,2,2,4,5,0,1
140,Sampdoria-Cagliari,0,0,2,1,1,15,1,1,0,0,0,20,1.4,1.85,0.95,2.05,1.046296727561194,1.2258187382102497,0.9445132413883324,1.09904264559757,1,1,3,1,1,3,3,1,1,1,0,1,0,0,0,0,1,4,4,2,1,2
